Train_No,Distance,Route_Type,Start_Time,End_Time,Journey_Duration_Hours
6593,10,Short,1900-01-01 18:15:00,1900-01-01 18:40:00,0.4166666666666667
6594,10,Short,1900-01-01 08:25:00,1900-01-01 08:50:00,0.4166666666666667
6595,33,Short,1900-01-01 10:35:00,1900-01-01 11:25:00,0.8333333333333334
6596,33,Short,1900-01-01 13:15:00,1900-01-01 14:25:00,1.1666666666666667
6647,89,Short,1900-01-01 05:30:00,1900-01-01 07:40:00,2.1666666666666665
6648,89,Short,1900-01-01 16:00:00,1900-01-01 18:30:00,2.5
6769,116,Short,1900-01-01 04:50:00,1900-01-01 07:30:00,2.6666666666666665
6770,116,Short,1900-01-01 19:25:00,1900-01-01 22:30:00,3.0833333333333335
6851,10,Short,1900-01-01 06:00:00,1900-01-01 06:20:00,0.3333333333333333
6852,10,Short,1900-01-01 21:05:00,1900-01-01 21:30:00,0.4166666666666667
6853,10,Short,1900-01-01 14:45:00,1900-01-01 15:08:00,0.38333333333333336
6854,10,Short,1900-01-01 14:10:00,1900-01-01 14:35:00,0.4166666666666667
6919,247,Medium,1900-01-01 06:25:00,1900-01-01 13:21:00,6.933333333333334
6920,248,Medium,1900-01-01 13:30:00,1900-01-01 20:21:00,6.85
7005,2276,Long,1900-01-01 21:30:00,1900-01-01 17:30:00,20.0
7006,2297,Long,1900-01-01 01:30:00,1900-01-01 23:15:00,21.75
7007,2023,Long,1900-01-01 22:00:00,1900-01-01 13:45:00,15.75
7008,2033,Long,1900-01-01 05:00:00,1900-01-01 22:10:00,17.166666666666668
7016,670,Long,1900-01-01 18:45:00,1900-01-01 07:50:00,13.083333333333334
7044,735,Long,1900-01-01 16:45:00,1900-01-01 07:50:00,15.083333333333334
7061,217,Medium,1900-01-01 09:00:00,1900-01-01 13:30:00,4.5
7062,437,Medium,1900-01-01 15:00:00,1900-01-01 03:30:00,12.5
7075,554,Long,1900-01-01 19:20:00,1900-01-01 05:30:00,10.166666666666666
7076,553,Long,1900-01-01 18:10:00,1900-01-01 06:00:00,11.833333333333334
7109,1589,Long,1900-01-01 15:55:00,1900-01-01 23:10:00,7.25
7110,1593,Long,1900-01-01 02:15:00,1900-01-01 10:30:00,8.25
7113,1543,Long,1900-01-01 16:00:00,1900-01-01 23:10:00,7.166666666666667
7133,1508,Long,1900-01-01 15:30:00,1900-01-01 23:10:00,7.666666666666667
7134,1511,Long,1900-01-01 02:15:00,1900-01-01 10:30:00,8.25
7141,1560,Long,1900-01-01 16:15:00,1900-01-01 23:10:00,6.916666666666667
7142,1563,Long,1900-01-01 02:15:00,1900-01-01 08:30:00,6.25
7146,763,Long,1900-01-01 17:00:00,1900-01-01 06:30:00,13.5
7149,2563,Long,1900-01-01 07:30:00,1900-01-01 08:45:00,1.25
7211,1433,Long,1900-01-01 23:50:00,1900-01-01 06:30:00,6.666666666666667
7212,1436,Long,1900-01-01 09:30:00,1900-01-01 13:30:00,4.0
7213,1221,Long,1900-01-01 04:00:00,1900-01-01 06:30:00,2.5
7214,1226,Long,1900-01-01 09:30:00,1900-01-01 09:35:00,0.08333333333333333
7217,1360,Long,1900-01-01 23:50:00,1900-01-01 06:30:00,6.666666666666667
7218,1363,Long,1900-01-01 09:30:00,1900-01-01 13:45:00,4.25
7410,1147,Long,1900-01-01 09:15:00,1900-01-01 09:30:00,0.25
7417,1330,Long,1900-01-01 07:30:00,1900-01-01 11:55:00,4.416666666666667
7418,1331,Long,1900-01-01 22:00:00,1900-01-01 04:00:00,6.0
7425,537,Long,1900-01-01 18:45:00,1900-01-01 06:00:00,11.25
7426,537,Long,1900-01-01 17:50:00,1900-01-01 05:10:00,11.333333333333334
7429,742,Long,1900-01-01 18:30:00,1900-01-01 07:00:00,12.5
7430,744,Long,1900-01-01 14:15:00,1900-01-01 04:00:00,13.75
7431,597,Long,1900-01-01 20:10:00,1900-01-01 07:10:00,11.0
7432,597,Long,1900-01-01 17:00:00,1900-01-01 04:00:00,11.0
7435,555,Long,1900-01-01 18:00:00,1900-01-01 06:00:00,12.0
7436,554,Long,1900-01-01 19:15:00,1900-01-01 07:20:00,12.083333333333334
7438,1533,Long,1900-01-01 13:00:00,1900-01-01 19:45:00,6.75
7439,1533,Long,1900-01-01 22:50:00,1900-01-01 05:00:00,6.166666666666667
7487,735,Long,1900-01-01 22:30:00,1900-01-01 10:45:00,12.25
7505,1973,Long,1900-01-01 11:00:00,1900-01-01 03:45:00,16.75
7509,1886,Long,1900-01-01 13:25:00,1900-01-01 03:45:00,14.333333333333334
7517,350,Medium,1900-01-01 22:30:00,1900-01-01 07:45:00,9.25
7525,322,Medium,1900-01-01 12:00:00,1900-01-01 21:15:00,9.25
7526,322,Medium,1900-01-01 05:00:00,1900-01-01 15:00:00,10.0
7603,624,Long,1900-01-01 18:00:00,1900-01-01 06:00:00,12.0
7604,624,Long,1900-01-01 15:25:00,1900-01-01 06:55:00,15.5
7607,1014,Long,1900-01-01 18:45:00,1900-01-01 14:00:00,19.25
7608,1016,Long,1900-01-01 15:45:00,1900-01-01 11:30:00,19.75
7613,1636,Long,1900-01-01 12:10:00,1900-01-01 23:10:00,11.0
7614,1641,Long,1900-01-01 02:15:00,1900-01-01 13:15:00,11.0
7644,597,Long,1900-01-01 20:10:00,1900-01-01 07:45:00,11.583333333333334
7645,587,Long,1900-01-01 23:00:00,1900-01-01 08:15:00,9.25
7757,314,Medium,1900-01-01 05:30:00,1900-01-01 10:45:00,5.25
7758,314,Medium,1900-01-01 17:30:00,1900-01-01 22:50:00,5.333333333333333
7941,587,Long,1900-01-01 19:00:00,1900-01-01 06:00:00,11.0
7942,597,Long,1900-01-01 19:00:00,1900-01-01 05:30:00,10.5
8001,39,Short,1900-01-01 10:10:00,1900-01-01 10:45:00,0.5833333333333334
8002,39,Short,1900-01-01 18:25:00,1900-01-01 19:10:00,0.75
8014,12,Short,1900-01-01 08:25:00,1900-01-01 09:05:00,0.6666666666666666
8017,39,Short,1900-01-01 05:10:00,1900-01-01 06:00:00,0.8333333333333334
8018,39,Short,1900-01-01 21:40:00,1900-01-01 22:35:00,0.9166666666666666
8035,120,Short,1900-01-01 12:15:00,1900-01-01 15:10:00,2.9166666666666665
8036,120,Short,1900-01-01 15:20:00,1900-01-01 18:20:00,3.0
8051,39,Short,1900-01-01 06:05:00,1900-01-01 06:34:00,0.48333333333333334
8052,39,Short,1900-01-01 18:35:00,1900-01-01 19:20:00,0.75
8061,1847,Long,1900-01-01 20:20:00,1900-01-01 06:35:00,10.25
8062,1838,Long,1900-01-01 12:45:00,1900-01-01 23:20:00,10.583333333333334
8063,115,Short,1900-01-01 19:00:00,1900-01-01 22:00:00,3.0
8064,2039,Long,1900-01-01 01:00:00,1900-01-01 09:10:00,8.166666666666666
8065,115,Short,1900-01-01 15:10:00,1900-01-01 17:50:00,2.6666666666666665
8082,30,Short,1900-01-01 22:20:00,1900-01-01 22:50:00,0.5
8087,30,Short,1900-01-01 06:55:00,1900-01-01 07:23:00,0.4666666666666667
8101,40,Short,1900-01-01 21:15:00,1900-01-01 22:35:00,1.3333333333333333
8102,40,Short,1900-01-01 20:00:00,1900-01-01 20:55:00,0.9166666666666666
8301,1567,Long,1900-01-01 09:30:00,1900-01-01 16:40:00,7.166666666666667
8302,1567,Long,1900-01-01 00:30:00,1900-01-01 06:35:00,6.083333333333333
8403,495,Medium,1900-01-01 21:25:00,1900-01-01 06:45:00,9.333333333333334
8404,497,Medium,1900-01-01 19:10:00,1900-01-01 04:00:00,8.833333333333334
8501,700,Long,1900-01-01 23:00:00,1900-01-01 12:00:00,13.0
8502,698,Long,1900-01-01 16:30:00,1900-01-01 04:50:00,12.333333333333334
8511,471,Medium,1900-01-01 15:00:00,1900-01-01 03:00:00,12.0
8512,471,Medium,1900-01-01 22:15:00,1900-01-01 10:00:00,11.75
8567,1571,Long,1900-01-01 23:00:00,1900-01-01 03:45:00,4.75
